rank,word,count,
1,you,1222421,
2,I,1052546,
3,to,823661,
4,the,770161,
5,a,563578,
6,and,480214,
7,that,413389,
8,it,388320,
9,of,332038,
10,me,312326,
11,what,285826,
12,is,282222,
13,in,266544,
14,this,249860,
15,know,241548,
16,I'm,230304,
17,for,216535,
18,no,212463,
19,have,210523,
20,my,210429,
21,don't,206663,
22,just,196810,
23,not,195058,
24,do,194183,
25,be,191823,
26,on,191646,
27,your,188060,
28,was,184170,
29,we,181863,
30,it's,176919,
31,with,169586,
32,so,169088,
33,but,159109,
34,all,158281,
35,well,155201,
36,are,152650,
37,he,150009,
38,oh,148780,
39,about,142750,
40,right,137218,
41,you're,135738,
42,get,126849,
43,here,124368,
44,out,121867,
45,going,121435,
46,like,121194,
47,yeah,121148,
48,if,120553,
49,her,116265,
50,she,110122,
51,can,107652,
52,up,103826,
53,want,102822,
54,think,102403,
55,that's,102146,
56,now,100909,
57,go,100905,
58,him,96536,
59,at,93433,
60,how,87908,
61,got,86085,
62,there,85662,
63,one,84057,
64,did,79053,
65,why,78554,
66,see,75968,
67,come,72807,
68,good,72798,
69,they,69192,
70,really,68311,
71,as,67977,
72,would,67718,
73,look,67262,
74,when,65117,
75,time,64891,
76,will,64811,
77,okay,63509
78,back,63115,
79,can't,62602,
80,mean,61504,
81,tell,61352,
82,I'll,61169,
83,from,59972,
84,hey,58699,
85,were,58127,
86,he's,57551,
87,could,57285,
88,didn't,56732,
89,yes,55828,
90,his,55502,
91,been,55235,
92,or,55062,
93,something,54736,
94,who,53799,
95,because,53566,
96,some,53265,
97,had,52561,
98,then,52197,
99,say,50213,
100,ok,49968,
101,take,49868,
102,an,49832,
103,way,49794,
104,us,49492,
105,little,47885,
106,make,46154,
107,need,46040,
108,gonna,45124,
109,never,44728,
110,we're,43491,
111,too,43360,
112,love,42994,
113,she's,42795,
114,I've,42160,
115,sure,40757,
116,them,40366,
117,more,40239,
118,over,40001,
119,our,39896,
120,sorry,39854,
121,where,39330,
122,what's,39305,
123,let,38858,
124,thing,38121,
125,am,37814,
126,maybe,37653,
127,down,37644,
128,man,37355,
129,has,37145,
130,uh,36435,
131,very,36140,
132,by,35500,
133,there's,35242,
134,should,34829,
135,anything,34635,
136,said,34568,
137,much,34270,
138,any,34203,
139,life,34192,
140,even,33895,
141,off,33887,
142,please,33628,
143,doing,32831,
144,thank,31728,
145,give,31073,
146,only,30599,
147,thought,30211,
148,help,29825,
149,two,29788,
150,talk,28834,
151,people,28517,
152,god,28502,
153,still,28308,
154,wait,27920,
155,into,27354,
156,find,26757,
157,nothing,26592,
158,again,26472,
159,things,26305,
160,let's,26132,
161,doesn't,25926,
162,call,25880,
163,told,25594,
164,great,25435,
165,before,25329,
166,better,25282,
167,ever,25127,
168,night,24900,
169,than,24815,
170,away,24543,
171,first,24509,
172,believe,24210,
173,other,23936,
174,feel,23850,
175,everything,23714,
176,work,23683,
177,you've,23483,
178,fine,22993,
179,home,22901,
180,after,22182,
181,last,21965,
182,these,21929,
183,day,21860,
184,keep,21842,
185,does,21731,
186,put,21617,
187,around,21591,
188,stop,21341,
189,they're,21309,
190,I'd,21221,
191,guy,21126,
192,long,21086,
193,isn't,20796,
194,always,20581,
195,listen,20142,
196,wanted,20074,
197,Mr.,20053,
198,guys,19953,
199,huh,19871,
200,those,19849,
201,big,19520,
202,lot,19421,
203,happened,19282,
204,thanks,19233,
205,won't,19208,
206,trying,19173,
207,kind,19031,
208,wrong,19025,
209,through,18903,
210,talking,18875,
211,made,18872,
212,new,18860,
213,being,18666,
214,guess,18473,
215,hi,18285,
216,care,18042,
217,bad,17636,
218,mom,17514,
219,remember,17266,
220,getting,17199,
221,we'll,17077,
222,together,17074,
223,dad,17003,
224,leave,16978,
225,mother,16855,
226,place,16796,
227,understand,16724,
228,wouldn't,16615,
229,actually,16585,
230,hear,16523,
231,baby,16514,
232,nice,16275,
233,father,16233,
234,else,16214,
235,stay,16167,
236,done,16010,
237,wasn't,16007,
238,their,15907,
239,course,15866,
240,might,15774,
241,mind,15364,
242,every,15350,
243,enough,15322,
244,try,15235,
245,hell,15191,
246,came,15142,
247,someone,15035,
248,you'll,14958,
249,own,14849,
250,family,14765,
251,whole,14623,
252,another,14541,
253,house,14458,
254,Jack,14324,
255,yourself,14291,
256,idea,14203,
257,ask,14194,
258,best,14094,
259,must,14089,
260,coming,14082,
261,old,14041,
262,looking,13843,
263,woman,13734,
264,hello,13655,
265,which,13652,
266,years,13526,
267,room,13467,
268,money,13456,
269,left,13428,
270,knew,13357,
271,tonight,13305,
272,real,13161,
273,son,13131,
274,hope,13093,
275,name,13044,
276,same,13024,
277,went,12892,
278,um,12883,
279,hmm,12819,
280,happy,12788,
281,pretty,12746,
282,saw,12707,
283,girl,12641,
284,sir,12557,
285,show,12392,
286,friend,12245,
287,already,12233,
288,saying,12204,
289,may,12199,
290,next,12147,
291,three,12088,
292,job,12047,
293,problem,11931,
294,minute,11903,
295,found,11875,
296,world,11754,
297,thinking,11721,
298,haven't,11699,
299,heard,11692,
300,honey,11659,
301,matter,11578,
302,myself,11559,
303,couldn't,11550,
304,exactly,11502,
305,having,11481,
306,ah,11347,
307,probably,11332,
308,happen,11273,
309,we've,11200,
310,hurt,11145,
311,boy,11050,
312,both,11035,
313,while,11006,
314,dead,11002,
315,gotta,11000,
316,alone,10813,
317,since,10757,
318,excuse,10747,
319,start,10704,
320,kill,10676,
321,hard,10608,
322,you'd,10577,
323,today,10561,
324,car,10485,
325,ready,10461,
326,until,10432,
327,without,10421,
328,whatever,10363,
329,wants,10269,
330,hold,10254,
331,wanna,10250,
332,yet,10225,
333,seen,10192,
334,deal,10143,
335,took,10083,
336,once,9931,
337,gone,9877,
338,called,9871,
339,morning,9823,
340,supposed,9818,
341,friends,9814,
342,head,9794,
343,stuff,9709,
344,most,9699,
345,used,9623,
346,worry,9620,
347,second,9605,
348,part,9518,
349,live,9507,
350,truth,9470,
351,school,9443,
352,face,9441,
353,forget,9322,
354,true,9296,
355,business,9295,
356,each,9277,
357,cause,9277,
358,soon,9261,
359,knows,9217,
360,few,9164,
361,telling,9129,
362,wife,9125,
363,who's,9109,
364,use,9096,
365,chance,9081,
366,run,9076,
367,move,9073,
368,anyone,9050,
369,person,8997,
370,bye,8969,
371,J.,8942,
372,somebody,8923,
373,Dr. orædr.,8917,
374,heart,8824,
375,such,8813,
376,miss,8806,
377,married,8798,
378,point,8707,
379,later,8636,
380,making,8623,
381,meet,8608,
382,anyway,8517,
383,many,8504,
384,phone,8424,
385,reason,8395,
386,damn,8367,
387,lost,8348,
388,looks,8337,
389,bring,8320,
390,case,8287,
391,turn,8264,
392,wish,8262,
393,tomorrow,8254,
394,kids,8247,
395,trust,8187,
396,check,8185,
397,change,8176,
398,end,8171,
399,late,8164,
400,anymore,8160,
401,five,8137,
402,least,8119,
403,town,8099,
404,aren't,8065,
405,ha,8033,
406,working,8016,
407,year,8013,
408,makes,8001,
409,taking,7996,
410,means,7980,
411,brother,7952,
412,play,7883,
413,hate,7839,
414,ago,7836,
415,says,7821,
416,beautiful,7813,
417,gave,7759,
418,fact,7654,
419,crazy,7650,
